ROI_INDEX	TISSUE_SEG	ROI_NAME	MINA_C32_mapped	MINA_C32_mapped_OI	MINA_C64_mapped	MINA_C64_mapped_OI	MINA_C128_mapped	MINA_C128_mapped_OI	MINA_C256_mapped	MINA_C256_mapped_OI	MINA_C512_mapped	MINA_C512_mapped_OI	MINA_C1024_mapped	MINA_C1024_mapped_OI
128	GM	Right IOG   inferior occipital gyrus	C18	0.7252311756935271	C50	0.4372523117569353	C116	0.3817701453104359	C217	0.36856010568031705	C323	0.22192866578599735	C323	0.2285336856010568
129	GM	Left IOG   inferior occipital gyrus	C28	0.3360107095046854	C50	0.40160642570281124	C125	0.3319946452476573	C193	0.37751004016064255	C214	0.3078982597054886	C275	0.24765729585006693
132	GM	Right ITG   inferior temporal gyrus	C23	0.3617283950617284	C27	0.2518518518518518	C79	0.2419753086419753	C53	0.14320987654320988	C250	0.11728395061728394	C79	0.11481481481481481
133	GM	Left ITG   inferior temporal gyrus	C17	0.29055007052186177	C56	0.343441466854725	C56	0.20944992947813823	C168	0.1473906911142454	C168	0.14104372355430184	C56	0.1382228490832158
134	GM	Right LiG   lingual gyrus	C28	0.2600700525394046	C28	0.26882661996497376	C25	0.2679509632224168	C221	0.2171628721541156	C372	0.13047285464098074	C489	0.14010507880910683
135	GM	Left LiG   lingual gyrus	C28	0.337037037037037	C28	0.3175925925925926	C28	0.28703703703703703	C25	0.16666666666666666	C298	0.16203703703703703	C298	0.14629629629629629
136	GM	Right LOrG  lateral orbital gyrus	C10	0.5167785234899329	C11	0.7818791946308725	C91	0.8322147651006712	C245	0.4865771812080537	C406	0.24496644295302014	C565	0.23154362416107382
137	GM	Left LOrG  lateral orbital gyrus	C10	0.5142857142857142	C11	0.9	C91	0.6964285714285714	C246	0.475	C301	0.48928571428571427	C301	0.2642857142857143
138	GM	Right MCgG  middle cingulate gyrus	C32	0.6474820143884892	C36	0.5269784172661871	C32	0.36510791366906475	C32	0.25719424460431656	C32	0.22841726618705036	C998	0.11151079136690648
139	GM	Left MCgG  middle cingulate gyrus	C32	0.6791338582677166	C44	0.421259842519685	C32	0.3425196850393701	C36	0.25	C36	0.24803149606299213	C998	0.17716535433070865
140	GM	Right MFC   medial frontal cortex	C22	0.7347826086956522	C22	0.7391304347826086	C22	0.4782608695652174	C22	0.2608695652173913	C130	0.21304347826086956	C92	0.1782608695652174
141	GM	Left MFC   medial frontal cortex	C22	0.8454545454545455	C22	0.8318181818181818	C22	0.5409090909090909	C22	0.2909090909090909	C130	0.2545454545454545	C130	0.2681818181818182
142	GM	Right MFG   middle frontal gyrus	C11	0.7357859531772575	C45	0.32441471571906355	C45	0.18824653607262304	C11	0.12183468705207835	C11	0.09746774964166269	C11	0.09316770186335403
143	GM	Left MFG   middle frontal gyrus	C11	0.7287234042553191	C26	0.24903288201160542	C89	0.21760154738878143	C62	0.12330754352030948	C89	0.09671179883945841	C89	0.09574468085106383
144	GM	Right MOG   middle occipital gyrus	C21	0.9124797406807131	C21	0.9222042139384117	C21	0.35980551053484605	C172	0.39708265802269044	C408	0.26418152350081037	C408	0.21393841166936792
145	GM	Left MOG   middle occipital gyrus	C21	0.697560975609756	C59	0.6231707317073171	C125	0.42317073170731706	C240	0.2865853658536585	C148	0.25609756097560976	C148	0.23658536585365852
146	GM	Right MOrG  medial orbital gyrus	C22	0.6586270871985158	C10	0.5398886827458256	C97	0.4100185528756957	C174	0.28014842300556586	C418	0.20408163265306123	C596	0.17625231910946196
147	GM	Left MOrG  medial orbital gyrus	C22	0.6389891696750902	C10	0.5649819494584838	C97	0.4584837545126354	C174	0.3231046931407942	C479	0.20577617328519857	C616	0.15703971119133575
148	GM	Right MPoG  postcentral gyrus medial segment	C16	0.6417910447761194	C16	0.746268656716418	C87	0.8582089552238806	C178	0.7388059701492538	C156	0.5671641791044776	C390	0.43283582089552236
149	GM	Left MPoG  postcentral gyrus medial segment	C16	0.46564885496183206	C16	0.7251908396946565	C87	0.9465648854961832	C178	0.45038167938931295	C156	0.48854961832061067	C390	0.35877862595419846
150	GM	Right MPrG  precentral gyrus medial segment	C16	0.6277173913043478	C64	0.49728260869565216	C111	0.2717391304347826	C202	0.3179347826086957	C42	0.25815217391304346	C284	0.20652173913043478
151	GM	Left MPrG  precentral gyrus medial segment	C16	0.6206896551724138	C64	0.5103448275862069	C87	0.38620689655172413	C202	0.25862068965517243	C156	0.3	C284	0.33448275862068966
152	GM	Right MSFG  superior frontal gyrus medial segment	C2	0.3579849946409432	C47	0.5273311897106109	C82	0.24008574490889603	C181	0.23687031082529475	C375	0.16720257234726688	C225	0.1457663451232583
153	GM	Left MSFG  superior frontal gyrus medial segment	C2	0.39648682559598497	C47	0.4604767879548306	C82	0.27603513174404015	C82	0.23086574654956085	C334	0.164366373902133	C619	0.14178168130489335
154	GM	Right MTG   middle temporal gyrus	C17	0.23222222222222222	C48	0.2288888888888889	C48	0.2088888888888889	C48	0.12777777777777777	C21	0.13	C21	0.12944444444444445
155	GM	Left MTG   middle temporal gyrus	C17	0.30087976539589445	C63	0.2469208211143695	C24	0.16129032258064516	C38	0.14134897360703813	C28	0.10733137829912023	C104	0.10967741935483871
156	GM	Right OCP   occipital pole	C13	0.5691906005221932	C50	0.566579634464752	C116	0.7493472584856397	C256	0.6527415143603134	C290	0.3028720626631854	C290	0.3968668407310705
157	GM	Left OCP   occipital pole	C28	0.8839050131926122	C28	0.8970976253298153	C28	0.7862796833773087	C228	0.7783641160949868	C264	0.287598944591029	C264	0.22691292875989447
160	GM	Right OFuG  occipital fusiform gyrus	C18	0.5529157667386609	C50	0.4946004319654428	C116	0.5701943844492441	C253	0.47516198704103674	C253	0.2505399568034557	C231	0.19654427645788336
161	GM	Left OFuG  occipital fusiform gyrus	C28	0.44481605351170567	C50	0.4882943143812709	C28	0.42642140468227424	C179	0.38294314381270905	C360	0.26755852842809363	C219	0.2709030100334448
162	GM	Right OpIFG opercular part of the inferior frontal gyrus	C2	0.9918256130790191	C60	0.782016348773842	C121	0.6730245231607629	C121	0.4986376021798365	C246	0.34332425068119893	C246	0.329700272479564
163	GM	Left OpIFG opercular part of the inferior frontal gyrus	C2	1.0	C60	0.6419753086419753	C118	0.4228395061728395	C224	0.5370370370370371	C400	0.27469135802469136	C481	0.2037037037037037
164	GM	Right OrIFG orbital part of the inferior frontal gyrus	C10	0.8717948717948718	C61	0.6837606837606838	C91	0.5213675213675214	C229	0.3247863247863248	C229	0.3162393162393162	C229	0.3076923076923077
165	GM	Left OrIFG orbital part of the inferior frontal gyrus	C10	0.8858695652173914	C61	0.6902173913043478	C91	0.5652173913043478	C255	0.42934782608695654	C255	0.33695652173913043	C412	0.20108695652173914
166	GM	Right PCgG  posterior cingulate gyrus	C32	0.36629213483146067	C32	0.3415730337078652	C120	0.4067415730337079	C120	0.28314606741573034	C313	0.1842696629213483	C895	0.09887640449438202
167	GM	Left PCgG  posterior cingulate gyrus	C32	0.3448940269749518	C32	0.371868978805395	C120	0.43545279383429675	C120	0.28516377649325625	C276	0.24084778420038536	C599	0.10404624277456648
168	GM	Right PCu   precuneus	C29	0.5178316690442225	C29	0.23823109843081314	C75	0.144793152639087	C16	0.11768901569186876	C251	0.10912981455064194	C234	0.09771754636233952
169	GM	Left PCu   precuneus	C29	0.5172863666014351	C29	0.24266144814090018	C66	0.1598173515981735	C66	0.12981082844096542	C66	0.09001956947162426	C256	0.07893020221787345
170	GM	Right PHG   parahippocampal gyrus	C3	0.5464601769911505	C3	0.4004424778761062	C3	0.6061946902654868	C118	0.35176991150442477	C410	0.19911504424778761	C434	0.11504424778761062
171	GM	Left PHG   parahippocampal gyrus	C3	0.43209876543209874	C18	0.35185185185185186	C3	0.5082304526748971	C118	0.3724279835390947	C438	0.19547325102880658	C1021	0.12345679012345678
172	GM	Right PIns  posterior insula	C30	0.3779264214046823	C2	0.8160535117056856	C2	0.6354515050167224	C2	0.41471571906354515	C311	0.2842809364548495	C893	0.11371237458193979
