IDP	trait	Pvalue	ES
C1024_504	AD	2.246817792405085e-29	0.0721590768231695
C1024_505	AD	7.1941523201017945e-09	0.0185897275237756
C1024_506	AD	5.061608768254339e-06	0.0115169544088338
C1024_508	AD	9.333353484176347e-11	0.0233539800923975
C1024_510	AD	1.5099156039343672e-06	0.0128084314325172
C1024_511	AD	7.899956191414454e-164	0.5063115174578856
C1024_516	AD	2.1491434367092652e-44	0.1134992214231412
C1024_517	AD	6.4172745371749e-07	0.0137267966622947
C1024_518	AD	1.2280208289467034e-14	0.0332765033810901
C1024_519	AD	1.0827257597826335e-09	0.0206631562312052
C1024_520	AD	6.053573757622495e-08	0.0162751589381167
C1024_521	AD	9.117626233376842e-23	0.0545031430652472
C1024_522	AD	5.8193503080231085e-18	0.0418921994345993
C1024_524	AD	2.3986016988029163e-14	0.0325279999362805
C1024_525	AD	2.791260882148065e-22	0.0532180571565349
C1024_526	AD	8.699480566784643e-06	0.0109413971829979
C1024_527	AD	5.361656124352754e-32	0.0792551856932924
C1024_529	AD	5.2427963018637675e-16	0.0368069411958887
C1024_530	AD	4.370329484918838e-06	0.0116738423411298
C1024_531	AD	2.2741884985107387e-36	0.0911947259035201
C1024_532	AD	4.045640820878057e-05	0.0093127023435902
C1024_538	AD	1.7541396580017773e-89	0.2478545095441658
C1024_539	AD	1.7398980375291166e-22	0.0537676783210624
C1024_540	AD	1.2316508577637827e-20	0.0488890564116406
C1024_541	AD	1.0215180221800202e-49	0.128541269744452
C1024_542	AD	6.914499113562797e-19	0.044306404002853
C1024_543	AD	7.318818961449544e-27	0.0653999771476003
C1024_544	AD	1.292769188988585e-07	-0.015457977000708
C1024_545	AD	2.3160710558046088e-10	0.0223491859081934
C1024_546	AD	1.1800811363821958e-09	0.020569067208706
C1024_548	AD	4.659319617365921e-05	0.0091634649978114
C1024_550	AD	3.693784373406056e-12	0.0269190363221409
C1024_552	AD	1.9492558629360525e-05	0.0100848233477607
C1024_553	AD	2.2968022834054348e-18	0.0429404039064717
C1024_555	AD	7.185912512136706e-17	0.0390474604563515
C1024_556	AD	7.628535295331383e-09	-0.0185279003378807
C1024_559	AD	5.133238381544864e-28	0.0684972676283354
C1024_560	AD	1.1590807609461148e-45	0.117055581387138
C1024_564	AD	1.4367454273105198e-08	0.0178370974528876
C1024_565	AD	1.1051329576845909e-07	0.0156250326349324
C1024_566	AD	2.011367730736688e-19	0.0457071389987926
C1024_568	AD	3.862075214817148e-45	0.1155930208878576
C1024_570	AD	1.4125517786793537e-19	0.0461044587236828
C1024_571	AD	1.0055374594519496e-23	0.0570433082110031
C1024_574	AD	3.1702580871573445e-08	0.0169788375793589
C1024_575	AD	1.2238647134421593e-54	0.1426600199398146
C1024_576	AD	1.8418878410331925e-07	0.0150716072223335
C1024_578	AD	1.7513450688864816e-05	0.0101992234017829
C1024_580	AD	1.71696056247755e-06	0.0126739774830456
C1024_581	AD	1.023233900237798e-38	0.0976647823476948
C1024_582	AD	7.689632586350292e-15	0.0337991165834047
C1024_583	AD	2.2865435129416797e-05	0.0099177019894841
C1024_585	AD	3.0561439720205146e-15	0.0348276210318995
C1024_587	AD	3.10422972748288e-15	0.0348112744994252
C1024_588	AD	3.892095136961577e-05	0.0093547599236949
C1024_589	AD	4.107055572520994e-18	0.0422872736061888
C1024_590	AD	5.489625009962566e-99	0.2782218484405733
C1024_591	AD	2.9542490763908625e-48	0.1243983317418073
C1024_592	AD	1.9762788922522668e-57	0.1507450576683778
C1024_594	AD	2.2069787885727315e-08	0.0173741494401461
C1024_596	AD	1.932379760944164e-07	0.0150191975376633
C1024_597	AD	5.733385102252589e-07	0.0138474052066888
C1024_598	AD	3.645188004414153e-46	0.118470913194271
C1024_600	AD	9.090463459403548e-09	0.0183351006894326
C1024_601	AD	1.1598947450535917e-12	0.0282017195648165
C1024_602	AD	8.33067366268108e-12	0.0260167938430706
C1024_604	AD	2.8874867494734805e-23	0.0558248368251176
C1024_605	AD	6.128142082748585e-58	0.152214482809862
C1024_606	AD	4.538718763219367e-16	0.036971523796419
